"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/28/2017","Loom Yoga Bush","LOOM YOGA BUSH00 OF 00","40.00","debit","Sports","Barclaycard Arrival Plus","",""
"5/28/2017","Amazon","AMAZON MKTPLACE PMTS","21.32","debit","Shopping","CHASE AMAZON PRIME","",""
"5/28/2017","Amazon","Amazon.com","7.08","debit","Shopping","CHASE AMAZON PRIME","",""
"5/28/2017","Amazon","Amazon Prime Now","63.29","debit","Shopping","CHASE AMAZON PRIME","",""
"5/28/2017","Amazon","AMAZON MKTPLACE PMTS","9.95","debit","Shopping","CHASE AMAZON PRIME","",""
"5/28/2017","Asos Us Sales","ASOS US SALES LLC","92.80","debit","Clothing","CHASE AMAZON PRIME","",""
"5/27/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","15.34","debit","Food & Dining","Citi Double Cash Card","",""
"5/27/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","2.17","debit","Music","Citi Double Cash Card","",""
"5/27/2017","Lucky","LUCKY 1 SMOKE SHOP BROOKLYN NY","13.00","debit","Groceries","Citi Double Cash Card","",""
"5/26/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","6.07","debit","Food & Dining","Citi Double Cash Card","",""
"5/26/2017","Wayfair","WAYFAIR*WAYFAIR","46.00","credit","Home Improvement","Barclaycard Arrival Plus","",""
"5/26/2017","Online Transfer Gs","Online Transfer 6176401944 to gsbank ########0763 transaction #:","2000.00","debit","Transfer","TOTAL CHECKING","",""
"5/25/2017","Coursehorse.com Ny","COURSEHORSE.COM 2127294088 NY","20.00","debit","Education","Citi Double Cash Card","",""
"5/25/2017","Wayfair","WAYFAIR*WAYFAIR","402.83","debit","Home Improvement","Barclaycard Arrival Plus","",""
"5/25/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","6.07","debit","Food & Dining","Citi Double Cash Card","",""
"5/25/2017","Coursehorse.com Ny","COURSEHORSE.COM 2127294088 NY","50.00","debit","Education","Citi Double Cash Card","",""
"5/25/2017","Gaslog Ltd F","GASLOG LTD F","7.00","credit","Dividend & Cap Gains","Individual","",""
"5/24/2017","Mobil","CREATIVE MOBIL10510014 BOSTON MA05/22","6.40","debit","Gas & Fuel","TOTAL CHECKING","",""
"5/23/2017","Dunkin Donuts","DD/BR #331072        Q35","5.75","debit","Coffee Shops","CHASE AMAZON PRIME","",""
"5/22/2017","Transfer to Barclaycard Arrival Plus","BARCLAYCARD US   CREDITCARD 450818506       WEB ID: 2510407970","106.35","debit","Credit Card Payment","TOTAL CHECKING","",""
"5/21/2017","Taxi Svc Long","TAXI SVC LONG ISLAND C LONG IS CITY NY","29.88","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"5/21/2017","Transfer from TOTAL CHECKING","Payment Received","106.35","credit","Credit Card Payment","Barclaycard Arrival Plus","",""
"5/21/2017","Amazon","Amazon Prime Now","31.81","debit","Shopping","CHASE AMAZON PRIME","",""
"5/21/2017","Amazon","Amazon Prime Now Tips","5.00","debit","Shopping","CHASE AMAZON PRIME","",""
"5/21/2017","Amazon","Amazon.com","80.47","debit","Shopping","CHASE AMAZON PRIME","",""
"5/19/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","8.13","debit","Food & Dining","Citi Double Cash Card","",""
"5/18/2017","Lyft","LYFT *RIDE THU 9PM 8552800278 CA","12.53","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"5/18/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","5.97","debit","Food & Dining","Citi Double Cash Card","",""
"5/18/2017","Chase Autopay Ppd","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","105.35","debit","Financial","TOTAL CHECKING","",""
"5/17/2017","Aramark","ARAMARK@JPMC 383 MADIS","6.07","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/17/2017","Aramark","ARAMARK@JPMC 383 MADIS","8.54","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/17/2017","Pandora","PANDORA*INTERNET RADIO 5104514100 CA","9.99","debit","Gift","Citi Double Cash Card","",""
"5/17/2017","Aramark","ARAMARK@JPMC 383 MADIS","5.97","debit","Food & Dining","CHASE AMAZON PRIME","",""
"5/17/2017","Transfer from TOTAL CHECKING","AUTOMATIC PAYMENT - THANK","105.35","credit","Credit Card Payment","CHASE AMAZON PRIME","",""
"5/17/2017","Aramark","ARAMARK@JPMC 383 MADIS","6.35","debit","Food & Dining","CHASE AMAZON PRIME","",""
"5/16/2017","Jpmc","JPMC-383 MADISON FINAN","2.45","debit","Education","Barclaycard Arrival Plus","",""
"5/15/2017","Zola Registry","ZOLA REGISTRY","153.75","debit","Gift","Barclaycard Arrival Plus","",""
"5/15/2017","New York Times","NEW YORK TIMES DIGITAL 8006984637 NY","7.50","debit","Books","Citi Double Cash Card","",""
"5/15/2017","Congrats Cash Rewards","Congrats! Cash rewards statement credit","38.56","credit","Credit Card Payment","Citi Double Cash Card","",""
"5/15/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","9.78","debit","Music","Citi Double Cash Card","",""
"5/15/2017","Amazon","Amazon Prime Now Tips","5.00","debit","Shopping","CHASE AMAZON PRIME","",""
"5/15/2017","J P Morgan","J.P. MORGAN SECU PAYROLLPPD ID: 1133299429","3340.03","credit","Paycheck","TOTAL CHECKING","",""
"5/15/2017","ATM Withdrawal","ATM WITHDRAWAL007026  05/13383 MADIS","80.00","debit","Cash & ATM","TOTAL CHECKING","",""
"5/15/2017","Chase Quickpay Electronic","Chase QuickPay Electronic Transfer 6226015477 to YURI RUDASHEVSK","60.00","debit","Shopping","TOTAL CHECKING","",""
"5/15/2017","Citi Online Web","CITI CARD ONLINE PAYMENT    122328309012290 WEB ID: CITICTP","2923.49","debit","Credit Card Payment","TOTAL CHECKING","",""
"5/15/2017","Consolidated Edison","CON ED OF NY     INTELL CKPPD ID: 2462467002","70.39","debit","Utilities","TOTAL CHECKING","",""
"5/14/2017","Amazon Kindle","Amazon Services-Kindle","11.99","debit","Books","CHASE AMAZON PRIME","",""
"5/14/2017","Amazon","Amazon Prime Now","47.40","debit","Shopping","CHASE AMAZON PRIME","",""
"5/13/2017","Citibank Conditional For","CITIBANK CONDITIONAL CREDIT FOR DISPUTE","15.00","credit","Credit Card Payment","Citi Double Cash Card","",""
"5/13/2017","Reverse Ops Hrcls","REVERSE OPS*HRCLS LNDY 8005265 800-555-1","25.00","debit","Laundry","Citi Double Cash Card","",""
"5/13/2017","Citibank Conditional For","CITIBANK CONDITIONAL CREDIT FOR DISPUTE","90.00","credit","Credit Card Payment","Citi Double Cash Card","",""
"5/13/2017","Citibank Conditional For","CITIBANK CONDITIONAL CREDIT FOR DISPUTE","15.00","credit","Credit Card Payment","Citi Double Cash Card","",""
"5/13/2017","Citibank Conditional For","CITIBANK CONDITIONAL CREDIT FOR DISPUTE","25.00","credit","Credit Card Payment","Citi Double Cash Card","",""
"5/13/2017","Pay Handy.com Ny","PAY@HANDY.COM MAY14 8552160216 NY","90.00","debit","Home Services","Citi Double Cash Card","",""
"5/13/2017","Pay Handy.com Ny","PAY@HANDY.COM MAY14 8552160216 NY","15.00","debit","Home Services","Citi Double Cash Card","",""
"5/13/2017","Ops Hrcls Lndy","OPS*HRCLS LNDY 8005265 800-555-1212 NY","25.00","debit","Laundry","Citi Double Cash Card","",""
"5/13/2017","Pay Handy.com Ny","PAY@HANDY.COM MAY14 8552160216 NY","15.00","debit","Home Services","Citi Double Cash Card","",""
"5/13/2017","Online Thank You","ONLINE PAYMENT, THANK YOU","2923.49","credit","Credit Card Payment","Citi Double Cash Card","",""
"5/13/2017","Diamond Spa","DIAMOND SPA","51.20","debit","Spa & Massage","Barclaycard Arrival Plus","",""
"5/13/2017","Clarks","CLARKS#520","5.60","debit","Gift","Barclaycard Arrival Plus","",""
"5/13/2017","Expert Dental, P.C.","EXPERT DENTAL PC","34.00","debit","Business Services","Barclaycard Arrival Plus","",""
"5/12/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","16.59","debit","Food & Dining","Citi Double Cash Card","",""
"5/12/2017","Aramark","ARAMARK@JPMC 383 MADIS","7.86","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/11/2017","Dunkin Donuts","DUNKIN #350163     Q35","4.87","debit","Coffee Shops","Barclaycard Arrival Plus","",""
"5/11/2017","Lyft","LYFT *RIDE THU 1AM 8552800278 CA","15.00","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"5/11/2017","Lyft","LYFT *RIDE THU 1AM 8552800278 CA","10.14","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"5/10/2017","Aramark","ARAMARK@JPMC 383 MADIS","5.97","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/10/2017","Aramark","ARAMARK@JPMC 383 MADIS","5.86","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/09/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","3.89","debit","Food & Dining","Citi Double Cash Card","",""
"5/09/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","5.42","debit","Food & Dining","Citi Double Cash Card","",""
"5/09/2017","Jpmorgan Chase B","JPMORGAN CHASE B TTRVL-REIMPPD ID: 360899825","509.12","credit","Income","TOTAL CHECKING","",""
"5/09/2017","Check 506","CHECK 506","62.00","debit","Check","TOTAL CHECKING","",""
"5/09/2017","Spotify","Spotify USA","9.99","debit","Music","CHASE AMAZON PRIME","",""
"5/08/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","5.53","debit","Food & Dining","Citi Double Cash Card","",""
"5/08/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","7.07","debit","Tuition","Citi Double Cash Card","",""
"5/07/2017","Amazon Kindle","Amazon Services-Kindle","13.99","debit","Books","CHASE AMAZON PRIME","",""
"5/06/2017","Mr Lemon","MR LEMON","32.93","debit","Groceries","Barclaycard Arrival Plus","",""
"5/06/2017","Optimum","OPTIMUM #7836 07186173500 NY","55.38","debit","Bills & Utilities","Citi Double Cash Card","",""
"5/05/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","7.07","debit","Tuition","Citi Double Cash Card","",""
"5/05/2017","GrubHub Seamless","SEAMLSSAREPERAGUACUCO 8002561020 NY","26.29","debit","Food & Dining","Citi Double Cash Card","",""
"5/05/2017","Duane Reade","DUANE READE #14102 NEW YORK NY","10.00","debit","Pharmacy","Citi Double Cash Card","",""
"5/05/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","13.02","debit","Food & Dining","Citi Double Cash Card","",""
"5/05/2017","Ishares Iboxx High Yieldbond Etf","ISHARES IBOXX HIGH YIELDBOND ETF","4.87","credit","Dividend & Cap Gains","Individual","",""
"5/04/2017","Cfa Institute","CFA INSTITUTE","525.00","debit","Business Services","Barclaycard Arrival Plus","",""
"5/04/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","2.16","debit","Music","Citi Double Cash Card","",""
"5/04/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","6.07","debit","Food & Dining","Citi Double Cash Card","",""
"5/04/2017","Amazon Kindle","Amazon Services-Kindle","7.99","debit","Books","CHASE AMAZON PRIME","",""
"5/03/2017","Sp Intentionally Bla","SP * INTENTIONALLY BLA","152.10","debit","Clothing","Barclaycard Arrival Plus","",""
"5/03/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","5.72","debit","Tuition","Citi Double Cash Card","",""
"5/03/2017","Alice Cafe","ALICE CAFE NEW YORK NY","10.83","debit","Restaurants","Citi Double Cash Card","",""
"5/02/2017","Aramark","ARAMARK@JPMC 383 MADIS","5.97","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/02/2017","Amazon","Amazon Prime Now Tips","7.00","debit","Shopping","CHASE AMAZON PRIME","",""
"5/02/2017","Alice Cafe","ALICE CAFE NEW YORK NY","10.83","debit","Restaurants","Citi Double Cash Card","",""
"5/02/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","9.99","debit","Movies & DVDs","Citi Double Cash Card","",""
"5/02/2017","Travel","Travel Credit","575.00","credit","Credit Card Payment","Barclaycard Arrival Plus","",""
"5/01/2017","Amazon","Amazon Prime Now","76.98","debit","Shopping","CHASE AMAZON PRIME","",""
"5/01/2017","Venmo","VENMO            PAYMENT    501124365       WEB ID: 3264681992","2100.00","debit","Transfer","TOTAL CHECKING","",""
"5/01/2017","Aramark","ARAMARK@JPMC 383 MADIS","6.07","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/01/2017","Aramark","ARAMARK@JPMC 383 MADIS","8.76","debit","Food & Dining","Barclaycard Arrival Plus","",""
"5/01/2017","Spdr S&p 500 Etf","SPDR S&P 500 ETF","40.74","debit","Investments","Individual","",""
"4/30/2017","GrubHub Seamless","SEAMLSSSTRANGEFLAVORB 8002561020 NY","24.41","debit","Food & Dining","Citi Double Cash Card","",""
"4/30/2017","Aramark","ARAMARK@JPMC 383 MADIS","6.61","debit","Food & Dining","CHASE AMAZON PRIME","",""
"4/29/2017","Cafe Grumpy","SQU*SQ *CAFE GRUMPY - New York NY","8.25","debit","Fast Food","Citi Double Cash Card","",""
"4/28/2017","Southwest Airlines","SOUTHWES  5268518125078","617.92","debit","Air Travel","Barclaycard Arrival Plus","",""
"4/28/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","1.73","debit","Food & Dining","Citi Double Cash Card","",""
"4/28/2017","ATM Fee Refund","ATM Fee Rebate","1.99","credit","ATM Fee","Investor Checking","",""
"4/28/2017","Aramark","ARAMARK@JPMC 383 MADIS","3.89","debit","Food & Dining","CHASE AMAZON PRIME","",""
"4/28/2017","J P Morgan","J.P. MORGAN SECU PAYROLLPPD ID: 1133299429","3340.03","credit","Paycheck","TOTAL CHECKING","",""
"4/28/2017","Spdr S&p 500 Etf","SPDR S&P 500 ETF","40.74","credit","Dividend & Cap Gains","Individual","",""
"4/27/2017","Delta","DELTA     00623816062026","5.60","debit","Air Travel","Barclaycard Arrival Plus","",""
"4/27/2017","Delta","DELTA     00623816853704","5.60","debit","Air Travel","Barclaycard Arrival Plus","",""
"4/27/2017","Delta","DELTA     00623811507502","5.60","debit","Air Travel","Barclaycard Arrival Plus","",""
"4/27/2017","Delta","DELTA     00623816062015","5.60","debit","Air Travel","Barclaycard Arrival Plus","",""
"4/27/2017","Aramark","ARAMARK@JPMC 383 MADIS","8.97","debit","Food & Dining","Barclaycard Arrival Plus","",""
"4/27/2017","Delta","DELTA     0060187305076","75.25","debit","Air Travel","Barclaycard Arrival Plus","",""
"4/27/2017","Amazon","AMAZON MKTPLACE PMTS","42.97","debit","Shopping","CHASE AMAZON PRIME","",""
"4/27/2017","Amazon Kindle","Amazon Services-Kindle","10.99","debit","Books","CHASE AMAZON PRIME","",""
"4/27/2017","Aramark","ARAMARK@JPMC 383 MADIS","6.07","debit","Food & Dining","CHASE AMAZON PRIME","",""
"4/26/2017","Online Transfer Gs","Online Transfer 6109207459 to gsbank ########0763 transaction #:","2000.00","debit","Transfer","TOTAL CHECKING","",""
"4/25/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","13.14","debit","Food & Dining","Citi Double Cash Card","",""
"4/25/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","9.21","debit","Food & Dining","Citi Double Cash Card","",""
"4/24/2017","Barclaycard Us Web","BARCLAYCARD US   CREDITCARD 443861550       WEB ID: 2510407970","209.05","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/24/2017","Chase Quickpay Electronic","Chase QuickPay Electronic Transfer 6173688920 to michelle","150.00","debit","Shopping","TOTAL CHECKING","",""
"4/24/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","6.47","debit","Music","Citi Double Cash Card","",""
"4/24/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","7.90","debit","Tuition","Citi Double Cash Card","",""
"4/23/2017","Amazon Kindle","Amazon Services-Kindle","10.99","debit","Books","CHASE AMAZON PRIME","",""
"4/22/2017","Brandy & Melville","BRANDY MELVILLE - P NEW YORK NY","147.00","debit","Clothing","Citi Double Cash Card","",""
"4/22/2017","Sun Tan Nails","SUN TAN NAILS NEW YORK NY","31.00","debit","Spa & Massage","Citi Double Cash Card","",""
"4/22/2017","Squ Gimme Coffee","SQU*SQ *GIMME| COFFEE New York NY","4.75","debit","Coffee Shops","Citi Double Cash Card","",""
"4/22/2017","The Butcher","THE BUTCHER'S DAUGHTER NEW YORK NY","48.84","debit","Groceries","Citi Double Cash Card","",""
"4/21/2017","Uber.com","UBER   US APR21 I5D4D","9.69","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"4/21/2017","Received","Payment Received","209.05","credit","Credit Card Payment","Barclaycard Arrival Plus","",""
"4/20/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","5.97","debit","Food & Dining","Citi Double Cash Card","",""
"4/20/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","9.94","debit","Food & Dining","Citi Double Cash Card","",""
"4/20/2017","New York Times","NEW YORK TIMES DIGITAL 8006984637 NY","7.50","debit","Books","Citi Double Cash Card","",""
"4/20/2017","Amazon","AMAZON MKTPLACE PMTS","57.85","debit","Shopping","CHASE AMAZON PRIME","",""
"4/19/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","6.79","debit","Food & Dining","Citi Double Cash Card","",""
"4/18/2017","Sp Darner Socks","SP * DARNER SOCKS LA 3109273033 CA","76.00","debit","Clothing","Citi Double Cash Card","",""
"4/18/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","7.07","debit","Tuition","Citi Double Cash Card","",""
"4/18/2017","McDonald's","MCDONALD'S F7552 NEW YORK NY","4.77","debit","Fast Food","Citi Double Cash Card","",""
"4/18/2017","Amazon","AMAZON MKTPLACE PMTS","27.52","debit","Shopping","CHASE AMAZON PRIME","",""
"4/17/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","10.11","debit","Food & Dining","Citi Double Cash Card","",""
"4/17/2017","Chase Quickpay Electronic","Chase QuickPay Electronic Transfer 6154495500 to michelle","117.17","debit","Shopping","TOTAL CHECKING","",""
"4/17/2017","Bank Int 031617-041517","BANK INT 031617-041517","0.02","credit","Investments","Individual","",""
"4/16/2017","HI Mango Natural Market, Inc","HI MANGO NATURAL MARKE BROOKLYN NY","47.99","debit","Groceries","Citi Double Cash Card","",""
"4/16/2017","House Of Linen","HOUSE OF LINEN BROOKLYN NY","7.61","debit","Furnishings","Citi Double Cash Card","",""
"4/16/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","17.84","debit","Food & Dining","Citi Double Cash Card","",""
"4/16/2017","Rite Aid","RITE AID STORE - 4664 BROOKLYN NY","34.03","debit","Pharmacy","Citi Double Cash Card","",""
"4/16/2017","Sea Town Fish & Meat Market","SEA TOWN FISH & MEAT BROOKYN NY","18.32","debit","Groceries","Citi Double Cash Card","",""
"4/16/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","7.55","debit","Music","Citi Double Cash Card","",""
"4/15/2017","Uber.com","UBER   US APR15 LUQP2","8.00","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"4/15/2017","Dunkin Donuts","DD/BR #331072 Q BROOKLYN NY","5.20","debit","Coffee Shops","Citi Double Cash Card","",""
"4/15/2017","Beauty.com","HIGHQUALITYBEAUTY.COM 2132236146 CA","25.00","debit","Personal Care","Citi Double Cash Card","",""
"4/15/2017","Pay Handy.com Tip","PAY@HANDY.COM APR15TIP 8552160216 NY","5.00","debit","Home Services","Citi Double Cash Card","",""
"4/15/2017","Kraupner Pharmacy Inc","KRAUPNER PHARMACY INC. BROOKLYN NY","7.99","debit","Pharmacy","Citi Double Cash Card","",""
"4/15/2017","Ops Hrcls Lndy","OPS*HRCLS LNDY 8005265 800-555-1212 NY","25.00","debit","Laundry","Citi Double Cash Card","",""
"4/15/2017","W Knickerbock","W299167 443 KNICKERBOCK BROOKLYN","41.99","debit","Uncategorized","Investor Checking","",""
"4/14/2017","Pay Handy.com Ny","PAY@HANDY.COM APR15 8552160216 NY","90.00","debit","Home Services","Citi Double Cash Card","",""
"4/14/2017","Mini Max","MINI MAX BROOKLYN NY","25.51","debit","Uncategorized","Citi Double Cash Card","",""
"4/14/2017","Nootrobox Ca","NOOTROBOX 8888068019 CA","44.10","debit","Uncategorized","Citi Double Cash Card","",""
"4/14/2017","J P Morgan","J.P. MORGAN SECU PAYROLLPPD ID: 1133299429","3340.03","credit","Paycheck","TOTAL CHECKING","",""
"4/14/2017","Consolidated Edison","CON ED OF NY     INTELL CKPPD ID: 2462467002","55.32","debit","Utilities","TOTAL CHECKING","",""
"4/13/2017","Kraupner Pharmacy Inc","KRAUPNER PHARMACY INC. BROOKLYNNY           04/13","5.43","debit","Pharmacy","TOTAL CHECKING","",""
"4/13/2017","Duane Reade","DUANE READE #14295","8.49","debit","Pharmacy","Barclaycard Arrival Plus","",""
"4/13/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","6.33","debit","Food & Dining","Citi Double Cash Card","",""
"4/13/2017","GrubHub Seamless","SEAMLSSSICILYSBESTPIZ 8002561020 NY","21.91","debit","Food & Dining","Citi Double Cash Card","",""
"4/11/2017","Amazon Video","Amazon Video On Demand","9.99","debit","Movies & DVDs","CHASE AMAZON PRIME","",""
"4/11/2017","Check 505","CHECK 505","130.00","debit","Check","TOTAL CHECKING","",""
"4/10/2017","ATM Fee","NON-CHASE ATM WITHDRAW136531  04/091439 Myrt","1.50","debit","ATM Fee","TOTAL CHECKING","",""
"4/10/2017","ATM Withdrawal","NON-CHASE ATM WITHDRAW136531  04/091439 Myrt","40.00","debit","Cash & ATM","TOTAL CHECKING","",""
"4/10/2017","Citicards Cash Reward","CITICARDS CASH   REWARDPPD ID: CITIREWARD","45.98","credit","Income","TOTAL CHECKING","",""
"4/10/2017","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","TOTAL CHECKING","",""
"4/09/2017","Uber.com","UBER TECHNOLOGIES INC","7.56","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"4/09/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","20.03","debit","Food & Dining","Citi Double Cash Card","",""
"4/09/2017","Spotify","Spotify USA","9.99","debit","Music","CHASE AMAZON PRIME","",""
"4/08/2017","Diamond Spa","DIAMOND SPA NEW YORK NY","94.05","debit","Spa & Massage","Citi Double Cash Card","",""
"4/08/2017","Expert","EXPERT DENTAL NEW YORK NY","94.80","debit","Business Services","Citi Double Cash Card","",""
"4/07/2017","Uber.com","UBER   US APR07 PJFFI","7.92","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"4/07/2017","Uber.com","UBER   US APR07 PJFFI","7.92","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"4/07/2017","McDonald's","MCDONALD'S F7552 NEW YORK NY","1.09","debit","Fast Food","Citi Double Cash Card","",""
"4/07/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","6.31","debit","Food & Dining","Citi Double Cash Card","",""
"4/07/2017","Duane Reade","DUANE READE #14102 NEW YORK NY","42.22","debit","Pharmacy","Citi Double Cash Card","",""
"4/07/2017","Ishares Iboxx High Yieldbond Etf","ISHARES IBOXX HIGH YIELDBOND ETF","4.84","credit","Dividend & Cap Gains","Individual","",""
"4/06/2017","Garmentory Wa","GARMENTORY 2063956641 WA","90.00","debit","Uncategorized","Citi Double Cash Card","",""
"4/06/2017","Garmentory Wa","GARMENTORY 2063956641 WA","73.00","debit","Uncategorized","Citi Double Cash Card","",""
"4/06/2017","Sp Kylie Cosmetics","SP * KYLIE COSMETICS 8189922000 CA","58.00","debit","Spa & Massage","Citi Double Cash Card","",""
"4/06/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","20.03","debit","Food & Dining","Citi Double Cash Card","",""
"4/06/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","8.22","debit","Food & Dining","Citi Double Cash Card","",""
"4/06/2017","Garmentory Wa","GARMENTORY 2063956641 WA","65.33","debit","Uncategorized","Citi Double Cash Card","",""
"4/06/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","9.67","debit","Food & Dining","Citi Double Cash Card","",""
"4/06/2017","Garmentory Wa","GARMENTORY 2063956641 WA","386.00","debit","Uncategorized","Citi Double Cash Card","",""
"4/06/2017","Garmentory Wa","GARMENTORY 2063956641 WA","82.00","debit","Uncategorized","Citi Double Cash Card","",""
"4/05/2017","Optimum","OPTIMUM #7836 07186173500 NY","55.38","debit","Bills & Utilities","Citi Double Cash Card","",""
"4/05/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","7.07","debit","Tuition","Citi Double Cash Card","",""
"4/05/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","16.24","debit","Music","Citi Double Cash Card","",""
"4/04/2017","Jpmorgan Chase","JPMORGAN CHASE B TTRVL-REIMPPD ID: 360899825","17.97","debit","Financial","TOTAL CHECKING","",""
"4/04/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","4.90","debit","Tuition","Citi Double Cash Card","",""
"4/04/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","11.50","debit","Food & Dining","Citi Double Cash Card","",""
"4/04/2017","McDonald's","MCDONALD'S F7552 NEW YORK NY","1.09","debit","Fast Food","Citi Double Cash Card","",""
"4/03/2017","Aramark","ARAMARK@JPMC 383 MADIS NEW YORK NY","11.47","debit","Food & Dining","Citi Double Cash Card","",""
"4/03/2017","Jean Claude Biguine","JEAN CLAUDE BIGUINE NEW YORK NY","90.92","debit","Hair","Citi Double Cash Card","",""
"4/03/2017","Jpmc","JPMC-383 MADISON FINAN NEW YORK NY","7.07","debit","Tuition","Citi Double Cash Card","",""
"4/03/2017","Diamond Spa","DIAMOND SPA NEW YORK NY","41.80","debit","Spa & Massage","Citi Double Cash Card","",""
"4/03/2017","ATM Withdrawal","ATM WITHDRAWAL007347  04/03383 MADIS","60.00","debit","Cash & ATM","TOTAL CHECKING","",""
"4/03/2017","Citi Online Web","CITI CARD ONLINE PAYMENT    122290761301561 WEB ID: CITICTP","1000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/03/2017","Barclaycard Us Web","BARCLAYCARD US   CREDITCARD 444697914       WEB ID: 2510407970","2500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/03/2017","Check 513","CHECK 513","22.98","debit","Check","TOTAL CHECKING","",""
"4/02/2017","Yours Sincerely","YOURS SINCERELY BROOKLYN NY","12.80","debit","Alcohol & Bars","Citi Double Cash Card","",""
"4/02/2017","Bushwick","DEAR BUSHWICK BROOKLYN NY","18.07","debit","Books & Supplies","Citi Double Cash Card","",""
"4/02/2017","Uber.com","UBER   US APR02 RAVRR","7.56","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"4/02/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","20.98","debit","Food & Dining","Citi Double Cash Card","",""
"4/02/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","9.99","debit","Movies & DVDs","Citi Double Cash Card","",""
"4/01/2017","McDonald's","MCDONALD'S F20604 BROOKLYN NY","5.43","debit","Fast Food","Citi Double Cash Card","",""
"4/01/2017","Pay Handy.com Tip","PAY@HANDY.COM APR01TIP 8552160216 NY","5.00","debit","Home Services","Citi Double Cash Card","",""
"4/01/2017","GrubHub Seamless","SEAMLSSLUCYSVIETNAMES 8002561020 NY","34.73","debit","Food & Dining","Citi Double Cash Card","",""
